Date,Model_aclculated_ET,MODIS_ET,Noah_LSM_ET
1/1/2000,1.762,0.84701523,0.926041176
1/2/2000,2.012,0.84701523,0.797994118
1/3/2000,0.526,0.84701523,0.907976471
1/4/2000,0,0.84701523,1.321688235
1/5/2000,0.311,0.84701523,0.422041176
1/6/2000,0.74,0.84701523,0.426505882
1/7/2000,1.182,0.84701523,0.604970588
1/8/2000,0.096,0.84701523,0.655905882
1/9/2000,0.725,0.776873294,1.042011765
1/10/2000,1.77,0.776873294,1.449794118
1/11/2000,0.926,0.776873294,0.745311765
1/12/2000,1.351,0.776873294,0.845941176
1/13/2000,0.355,0.776873294,1.465429412
1/14/2000,0.898,0.776873294,0.531576471
1/15/2000,1.347,0.776873294,0.574358824
1/16/2000,0.768,0.776873294,0.464741176
1/17/2000,1.481,0.809176233,0.837823529
1/18/2000,0.36,0.809176233,0.396005882
1/19/2000,0,0.809176233,0.912694118
1/20/2000,0.919,0.809176233,1.010164706
1/21/2000,1.054,0.809176233,0.397605882
1/22/2000,0.373,0.809176233,0.388676471
1/23/2000,0.731,0.809176233,0.977670588
1/24/2000,0.779,0.809176233,0.867235293
1/25/2000,1.545,0.718195421,0.479576471
1/26/2000,1.707,0.718195421,0.419847059
1/27/2000,0.395,0.718195421,0.398723529
1/28/2000,0,0.718195421,0.772311765
1/29/2000,0.202,0.718195421,0.627235294
1/30/2000,0.467,0.718195421,1.067270588
1/31/2000,0.653,0.718195421,1.328541176
2/1/2000,1.039,0.718195421,1.171464706
2/2/2000,1.261,0.712872468,0.644094118
2/3/2000,1.859,0.712872468,0.771576471
2/4/2000,2.287,0.712872468,1.002729412
2/5/2000,1.051,0.712872468,0.564170588
2/6/2000,1.196,0.712872468,0.476370588
2/7/2000,1.731,0.712872468,0.776217647
2/8/2000,1.928,0.712872468,0.892852941
2/9/2000,1.809,0.712872468,0.856123529
2/10/2000,2.49,1.246513865,1.170052941
2/11/2000,1.222,1.246513865,0.639188235
2/12/2000,1.447,1.246513865,0.848582353
2/13/2000,1.28,1.246513865,0.953464706
2/14/2000,0.971,1.246513865,1.5444
2/15/2000,1.767,1.246513865,1.164117647
2/16/2000,1.326,1.246513865,0.740935294
2/17/2000,1.579,1.246513865,0.843035294
2/18/2000,2.964,1.008093299,1.515805882
2/19/2000,0.779,1.008093299,1.716541176
2/20/2000,0.962,1.008093299,0.854058824
2/21/2000,1.746,1.008093299,0.964594118
2/22/2000,2.832,1.008093299,1.381311765
2/23/2000,2.547,1.008093299,1.275935294
2/24/2000,3.287,1.008093299,1.381923529
2/25/2000,2.589,1.008093299,1.422717647
2/26/2000,2.022,1.126345389,1.244641176
2/27/2000,1.513,1.126345389,2.044270588
2/28/2000,1.899,1.126345389,1.388294118
2/29/2000,2.451,1.126345389,1.472464706
3/1/2000,2.958,1.126345389,1.490035294
3/2/2000,2.002,1.126345389,1.253623529
3/3/2000,1.346,1.126345389,0.937435294
3/4/2000,1.434,1.126345389,1.158476471
3/5/2000,1.547,1.036571161,1.107505882
3/6/2000,2.351,1.036571161,1.309676471
3/7/2000,2.824,1.036571161,1.432817647
3/8/2000,2.891,1.036571161,1.5114
3/9/2000,2.114,1.036571161,1.659982353
3/10/2000,1.639,1.036571161,1.404652941
3/11/2000,1.026,1.036571161,2.5524
3/12/2000,1.646,1.036571161,1.412764706
3/13/2000,1.889,1.282422797,1.353158823
3/14/2000,2.999,1.282422797,1.853964706
3/15/2000,2.68,1.282422797,1.459676471
3/16/2000,1.884,1.282422797,2.571552941
3/17/2000,2.012,1.282422797,1.702541176
3/18/2000,2.139,1.282422797,1.552035294
3/19/2000,0,1.282422797,1.281170588
3/20/2000,1.658,1.282422797,2.0167
3/21/2000,2.258,1.457993572,1.826664706
3/22/2000,2.892,1.457993572,2.064264706
