Date,USGS_Runoff_cms,Runoff_No_ET_cms,Runoff_MODIS_ET_cms,Runoff_NOAH_ET_cms,Runoff_No_ET_cms_shift,Runoff_MODIS_ET_cms_shift,Runoff_NOAH_ET_cms_shift,PRISM_Runoff_No_ET_cms,PRISM_Runoff_MODIS_ET_cms,PRISM_Runoff_NOAH_ET_cms,PRISM_Runoff_No_ET_cms_shift,PRISM_Runoff_MODIS_ET_cms_shift,PRISM_Runoff_NOAH_ET_cms_shift
1/1/2000,0,0.001467315,0.001467535,0.001467523,0,0,0,0.00122625,0.00122647,0.001226458,0,0,0
1/2/2000,0,0.004798623,0.004800718,0.004800394,0.001467315,0.001467535,0.001467523,0.013481296,0.013483229,0.013483299,0.00122625,0.00122647,0.001226458
1/3/2000,0,24.68524306,24.73525752,24.73387442,0.004798623,0.004800718,0.004800394,32.13412326,32.18966725,32.1880816,0.013481296,0.013483229,0.013483299
1/4/2000,1.988724692,69.00356481,69.14337384,69.13950231,24.68524306,24.73525752,24.73387442,89.77839699,89.93366898,89.92923611,32.13412326,32.18966725,32.1880816
1/5/2000,2.698827923,55.69954282,55.81236111,55.80922454,69.00356481,69.14337384,69.13950231,72.46234375,72.58763889,72.58405671,89.77839699,89.93366898,89.92923611
1/6/2000,2.984176154,26.083261,26.13603877,26.13457176,55.69954282,55.81236111,55.80922454,33.92909722,33.98771991,33.98603588,72.46234375,72.58763889,72.58405671
1/7/2000,2.250112385,2.147625509,2.151899051,2.151772824,26.083261,26.13603877,26.13457176,2.792862778,2.797609954,2.797464734,33.92909722,33.98771991,33.98603588
1/8/2000,2.054071615,0.336151389,0.337462813,0.338701354,2.147625509,2.151899051,2.151772824,3.199500139,3.204310984,3.207893877,2.792862778,2.797609954,2.797464734
1/9/2000,3.047344846,2.570786852,2.573723241,2.58108,0.336151389,0.337462813,0.338701354,9.083186481,9.096315833,9.106895255,3.199500139,3.204310984,3.207893877
1/10/2000,3.842399077,5.354181493,5.354805775,5.368479097,2.570786852,2.573723241,2.58108,7.612693866,7.622348819,7.631990741,9.083186481,9.096315833,9.106895255
1/11/2000,3.476456308,4.120769676,4.120145035,4.130245231,5.354181493,5.354805775,5.368479097,3.699321111,3.703311991,3.708361551,7.612693866,7.622348819,7.631990741
1/12/2000,3.110513538,1.822272859,1.821316192,1.825525532,4.120769676,4.120145035,4.130245231,0.693789063,0.69449228,0.69507794,3.699321111,3.703311991,3.708361551
1/13/2000,3.027740769,0.877296644,0.883479722,0.882188588,1.822272859,1.821316192,1.825525532,0.79227838,0.794951898,0.794136377,0.693789063,0.69449228,0.69507794
1/14/2000,2.944968,1.962153137,1.979911204,1.975454826,0.877296644,0.883479722,0.882188588,0.703960185,0.706664456,0.706036968,0.79227838,0.794951898,0.794136377
1/15/2000,2.975463231,1.580590637,1.594858935,1.591263565,1.962153137,1.979911204,1.975454826,0.365788241,0.367194398,0.366927697,0.703960185,0.706664456,0.706036968
1/16/2000,2.921007462,0.7400911,0.746632037,0.744935891,1.580590637,1.594858935,1.591263565,0.097814109,0.09825772,0.098268183,0.365788241,0.367194398,0.366927697
1/17/2000,2.894868692,0.062291204,0.062595463,0.062418206,0.7400911,0.746632037,0.744935891,0.099328426,0.099954826,0.099976076,0.097814109,0.09825772,0.098268183
1/18/2000,2.698827923,0.001478148,0.00121338,0.001170694,0.062291204,0.062595463,0.062418206,0.179321308,0.180758623,0.180334942,0.099328426,0.099954826,0.099976076
1/19/2000,2.616055154,0.432860694,0.438620694,0.438742315,0.001478148,0.00121338,0.001170694,0.331633773,0.334495532,0.333274086,0.179321308,0.180758623,0.180334942
1/20/2000,2.674867385,1.207623426,1.224197141,1.224614977,0.432860694,0.438620694,0.438742315,0.263107431,0.265133576,0.264137917,0.331633773,0.334495532,0.333274086
1/21/2000,2.195656615,0.975040058,0.988324745,0.988671875,1.207623426,1.224197141,1.224614977,0.132502384,0.133310648,0.132838681,0.263107431,0.265133576,0.264137917
1/22/2000,1.631494846,0.529432824,0.535372407,0.5355075,0.975040058,0.988324745,0.988671875,0.215121435,0.215387894,0.21542015,0.132502384,0.133310648,0.132838681
1/23/2000,1.208918077,0.241215012,0.241156319,0.241083102,0.529432824,0.535372407,0.5355075,0.54419728,0.545111944,0.545332396,0.215121435,0.215387894,0.21542015
1/24/2000,0.871292308,0.171167442,0.170617037,0.170553299,0.241215012,0.241156319,0.241083102,0.438708542,0.439353391,0.439544769,0.54419728,0.545111944,0.545332396
1/25/2000,0.561983538,0.093516435,0.093059606,0.09303978,0.171167442,0.170617037,0.170553299,0.2059436,0.20605559,0.206158692,0.438708542,0.439353391,0.439544769
1/26/2000,0.252674769,0.019821863,0.019449444,0.019467234,0.093516435,0.093059606,0.09303978,0.017789757,0.017494896,0.017520752,0.2059436,0.20605559,0.206158692
1/27/2000,0,0.080365521,0.080019086,0.080045486,0.019821863,0.019449444,0.019467234,0.2451489,0.244840718,0.244857951,0.017789757,0.017494896,0.017520752
1/28/2000,0.569671412,0.395827546,0.395501574,0.395529155,0.080365521,0.080019086,0.080045486,0.861674352,0.861393866,0.86141294,0.2451489,0.244840718,0.244857951
1/29/2000,2.470241824,0.786375058,0.786022766,0.786155417,0.395827546,0.395501574,0.395529155,1.049382326,1.049127153,1.049146678,0.861674352,0.861393866,0.86141294
1/30/2000,3.408034235,0.763468519,0.763052477,0.763373843,0.786375058,0.786022766,0.786155417,0.660264572,0.660031065,0.660047928,1.049382326,1.049127153,1.049146678
1/31/2000,3.609584647,0.721357512,0.721307234,0.72325213,0.763468519,0.763052477,0.763373843,0.499387662,0.500595799,0.502339225,0.660264572,0.660031065,0.660047928
2/1/2000,3.556282059,5.540381944,5.55002206,5.55685728,0.721357512,0.721307234,0.72325213,11.74181424,11.75421655,11.76078634,0.499387662,0.500595799,0.502339225
2/2/2000,3.814466471,13.47791227,13.50364873,13.51306134,5.540381944,5.55002206,5.55685728,31.22941551,31.25658565,31.26523727,11.74181424,11.75421655,11.76078634
2/3/2000,4.072650882,10.63959635,10.66001591,10.66632234,13.47791227,13.50364873,13.51306134,25.09865162,25.11949653,25.12500289,31.22941551,31.25658565,31.26523727
2/4/2000,3.991031294,4.858116678,4.867347731,4.869622396,10.63959635,10.66001591,10.66632234,11.6884397,11.69744931,11.69925127,25.09865162,25.11949653,25.12500289
2/5/2000,3.626241706,0.398234502,0.398701528,0.398886308,4.858116678,4.867347731,4.869622396,1.009159618,1.00960838,1.009678183,11.6884397,11.69744931,11.69925127
2/6/2000,3.006599118,0.000720289,0.00046816,0.000474329,0.398234502,0.398701528,0.398886308,0.005822963,0.005527188,0.005514838,1.009159618,1.00960838,1.009678183
