Date,Model_calculated_ET,MODIS_ET,Noah_LSM_ET
1/1/2000,2.35,0.807799764,0.765827273
1/2/2000,2.429,0.807799764,0.801772727
1/3/2000,0.069,0.807799764,1.068954545
1/4/2000,0,0.807799764,1.123872727
1/5/2000,0.462,0.807799764,0.390654545
1/6/2000,0.904,0.807799764,0.374381818
1/7/2000,1.256,0.807799764,0.580881818
1/8/2000,0,0.807799764,0.718290909
1/9/2000,0.874,0.793211159,1.096054545
1/10/2000,2.6225,0.793211159,1.3493
1/11/2000,1.2065,0.793211159,0.694463636
1/12/2000,1.624,0.793211159,0.815690909
1/13/2000,0.5,0.793211159,1.590545455
1/14/2000,0.99,0.793211159,0.493218182
1/15/2000,1.706,0.793211159,0.513663636
1/16/2000,1.04,0.793211159,0.512209091
1/17/2000,1.53,0.754477358,0.771127273
1/18/2000,0.104,0.754477358,0.315854545
1/19/2000,0,0.754477358,1.019345455
1/20/2000,1.043,0.754477358,1.187763636
1/21/2000,1.137,0.754477358,0.353109091
1/22/2000,0.616,0.754477358,0.572081818
1/23/2000,0.957,0.754477358,0.952972727
1/24/2000,0.842,0.754477358,0.775245452
1/25/2000,1.71,0.682888868,0.438781818
1/26/2000,1.836,0.682888868,0.387036364
1/27/2000,0.436,0.682888868,0.429581818
1/28/2000,0.002,0.682888868,0.703827273
1/29/2000,0.168,0.682888868,0.467336364
1/30/2000,0.443,0.682888868,0.763272727
1/31/2000,0.734,0.682888868,1.035690909
2/1/2000,1.142,0.682888868,1.0497
2/2/2000,1.242,0.716936271,0.812472727
2/3/2000,1.958,0.716936271,0.7446
2/4/2000,2.157,0.716936271,0.994263636
2/5/2000,1.083,0.716936271,0.524009091
2/6/2000,1.273,0.716936271,0.416754545
2/7/2000,1.85,0.716936271,0.738954545
2/8/2000,1.893,0.716936271,0.817463636
2/9/2000,1.887,0.716936271,0.795763636
2/10/2000,3.025,1.299143167,1.110872727
2/11/2000,1.289,1.299143167,0.576881818
2/12/2000,1.312,1.299143167,0.721109091
2/13/2000,1.322,1.299143167,1.237654545
2/14/2000,1.014,1.299143167,1.448745455
2/15/2000,1.984,1.299143167,1.087045455
